arm,trace_i,seed,phat,n_gen,belief_gen_pos,flip_pos,flip_pos_strict,flip_to,n_est_post_flip,post_flip_estimates,score_start,score_end,settle_pos,cut_point
below_good,115,6179,-1,364,347,,,,0,,0.4814,0.4111,237,236
below_good,116,6180,-1,319,302,,,,0,,0.5211,0.3978,200,199
below_good,117,6181,-1,410,401,,,,0,,0.5274,0.422,291,290
below_good,118,6182,-1,451,426,,,,0,,0.508,0.4082,315,314
below_good,120,6184,-1,615,,,,,0,,0.4964,0.4169,352,
below_good,121,6185,-1,515,,,,,0,,0.4994,0.4119,289,
below_good,122,6186,-1,537,531,,,,0,,0.5439,0.4358,372,371
below_good,123,6187,-1,317,,,,,0,,0.5074,0.4383,188,
below_good,124,6188,-1,443,,,,,0,,0.5109,0.416,251,
below_good,125,6189,-1,320,298,,,,0,,0.5134,0.4118,195,194
below_good,127,6191,-1,524,518,,,,0,,0.4964,0.4668,0,
below_good,128,6192,-1,318,316,,,,0,,0.5185,0.4273,198,197
below_good,129,6193,-1,539,,,,,0,,0.5618,0.4561,8,
below_good,130,6194,-1,452,424,,,,0,,0.5331,0.4471,102,101
below_good,132,6196,-1,328,322,,,,0,,0.5072,0.4071,213,212
below_good,133,6197,-1,354,348,,,,0,,0.4988,0.4742,0,
below_good,134,6198,-1,402,385,,,,0,,0.4776,0.4718,0,
below_good,136,6200,-1,641,637,,,,0,,0.5214,0.4374,468,467
below_good,137,6201,-1,327,321,,,,0,,0.4957,0.4334,205,204
below_good,138,6202,-1,370,,,,,0,,0.54,0.4384,198,
below_good,139,6203,-1,470,306,,,,0,,0.5535,0.4627,0,
below_good,140,6204,-1,499,457,,,,0,,0.5099,0.3944,353,352
below_good,141,6205,-1,414,412,,,,0,,0.5201,0.4434,294,293
below_good,142,6206,-1,375,371,,,,0,,0.5333,0.4398,259,258
below_good,143,6207,-1,479,477,,,,0,,0.5049,0.4393,356,355
below_good,144,6208,-1,915,908,,,,0,,0.517,0.4092,794,793
below_good,145,6209,-1,376,361,,,,0,,0.532,0.3839,263,262
below_good,146,6210,-1,407,401,,,,0,,0.5154,0.3951,302,301
below_good,147,6211,-1,700,,,,,0,,0.5027,0.4719,0,
below_good,148,6212,-1,345,343,,,,0,,0.5407,0.4534,119,118
below_good,149,6213,-1,370,364,,,,0,,0.5512,0.4227,253,252
