layer,scope,stratum,n_traces,n_pos,n_neg,n_points,accuracy,null_mean,null_p95,p_perm,baseline_acc,baseline_null_p95,baseline_p,n_perm,n_repeat
25,tercile_resid_group,0,,,,,0.7750000000000001,,,,0.5041666666666665,,,1000,20
25,tercile_resid_group,1,,,,,0.4930555555555555,,,,0.5916666666666668,,,1000,20
25,tercile_resid_group,2,,,,,0.72,,,,0.8216666666666667,,,1000,20
26,full,all,109,79,30,203,0.7597222222222222,0.49948145708770353,0.5849685654481007,0.000999000999000999,,,,1000,20
26,tercile_resid,all,109,79,30,203,0.6711111111111112,0.5001291806430737,0.5878182332874671,0.001998001998001998,0.6391666666666667,,,1000,20
26,tercile_resid_group,0,,,,,0.7750000000000001,,,,0.5041666666666665,,,1000,20
26,tercile_resid_group,1,,,,,0.4958333333333333,,,,0.5916666666666668,,,1000,20
26,tercile_resid_group,2,,,,,0.7425,,,,0.8216666666666667,,,1000,20
27,full,all,109,79,30,203,0.7604166666666667,0.4998035714436479,0.5858507227831722,0.000999000999000999,,,,1000,20
27,tercile,all,109,79,30,203,0.6938888888888889,0.5004830668708699,0.5882615673056097,0.000999000999000999,0.6391666666666667,,,1000,20
27,tercile_group,0,,,,,0.775,,,,0.5041666666666665,,,1000,20
27,tercile_group,1,,,,,0.5291666666666668,,,,0.5916666666666668,,,1000,20
27,tercile_group,2,,,,,0.7775,,,,0.8216666666666667,,,1000,20
27,tercile_resid,all,109,79,30,203,0.6683333333333333,0.5001996545718177,0.5888924558696123,0.001998001998001998,0.6391666666666667,,,1000,20
27,tercile_resid_group,0,,,,,0.7750000000000001,,,,0.5041666666666665,,,1000,20
27,tercile_resid_group,1,,,,,0.4958333333333333,,,,0.5916666666666668,,,1000,20
27,tercile_resid_group,2,,,,,0.7341666666666666,,,,0.8216666666666667,,,1000,20
27,resid_full,all,109,79,30,203,0.6548611111111111,0.5003056080124171,0.5918392884146197,0.000999000999000999,0.6767361111111112,,,1000,20
27,resid_full_group,0,,,,,0.6548611111111111,,,,0.6767361111111112,,,1000,20
27,matched,all,60,30,30,203,0.6805555555555556,0.4991833333333333,0.5973611111111111,0.001998001998001998,0.5805555555555555,,,1000,20
27,matched_group,0,,,,,0.6805555555555556,,,,0.5805555555555555,,,1000,20
27,residualized,all,109,79,30,203,0.6548611111111111,0.5003056080124171,0.5918392884146197,0.000999000999000999,,,,1000,20
28,full,all,109,79,30,203,0.7503472222222222,0.499741853481188,0.5861788408385579,0.000999000999000999,,,,1000,20
28,tercile_resid,all,109,79,30,203,0.6686111111111112,0.5003023218010526,0.5896517064265603,0.002997002997002997,0.6391666666666667,,,1000,20
28,tercile_resid_group,0,,,,,0.7722222222222224,,,,0.5041666666666665,,,1000,20
28,tercile_resid_group,1,,,,,0.49861111111111106,,,,0.5916666666666668,,,1000,20
28,tercile_resid_group,2,,,,,0.7350000000000001,,,,0.8216666666666667,,,1000,20
29,full,all,109,79,30,203,0.7510416666666668,0.49978356837128085,0.5848149075020244,0.000999000999000999,,,,1000,20
29,tercile_resid,all,109,79,30,203,0.6631481481481482,0.5006591958091466,0.5912994529601964,0.006993006993006993,0.6391666666666667,,,1000,20
29,tercile_resid_group,0,,,,,0.7694444444444445,,,,0.5041666666666665,,,1000,20
29,tercile_resid_group,1,,,,,0.4958333333333333,,,,0.5916666666666668,,,1000,20
29,tercile_resid_group,2,,,,,0.7241666666666668,,,,0.8216666666666667,,,1000,20
30,full,all,109,79,30,203,0.7267361111111111,0.4996578025318044,0.5842668083145771,0.000999000999000999,,,,1000,20
30,tercile_resid,all,109,79,30,203,0.6619444444444444,0.5007146496744252,0.5904909126113895,0.006993006993006993,0.6391666666666667,,,1000,20
30,tercile_resid_group,0,,,,,0.7694444444444445,,,,0.5041666666666665,,,1000,20
30,tercile_resid_group,1,,,,,0.4930555555555555,,,,0.5916666666666668,,,1000,20
30,tercile_resid_group,2,,,,,0.7233333333333334,,,,0.8216666666666667,,,1000,20
31,full,all,109,79,30,203,0.6868055555555556,0.5002065747961275,0.586028258845519,0.000999000999000999,,,,1000,20
31,tercile_resid,all,109,79,30,203,0.6515740740740742,0.5006337112354439,0.5891514917695473,0.005994005994005994,0.6391666666666667,,,1000,20
31,tercile_resid_group,0,,,,,0.7777777777777779,,,,0.5041666666666665,,,1000,20
